"W1" "W2" "W3" "W4"
"174" 0.91 0.06 0.01 0.02
"175" 0.91 0.06 0 0.03
"176" 0.91 0.05 0.04 0
"177" 0.91 0.05 0.03 0.01
"178" 0.91 0.05 0.02 0.02
"179" 0.91 0.05 0.01 0.03
"180" 0.91 0.05 0 0.04
"181" 0.91 0.04 0.05 0
"182" 0.91 0.04 0.04 0.01
"183" 0.91 0.04 0.03 0.02
"184" 0.91 0.04 0.02 0.03
"185" 0.91 0.04 0.01 0.04
"186" 0.91 0.04 0 0.05
"187" 0.91 0.03 0.06 0
"188" 0.91 0.03 0.05 0.01
"189" 0.91 0.03 0.04 0.02
"190" 0.91 0.03 0.03 0.03
"191" 0.91 0.03 0.02 0.04
"192" 0.91 0.03 0.01 0.05
"193" 0.91 0.03 0 0.06
"194" 0.91 0.02 0.07 0
"195" 0.91 0.02 0.06 0.01
"196" 0.91 0.02 0.05 0.02
"197" 0.91 0.02 0.04 0.03
"198" 0.91 0.02 0.03 0.04
"199" 0.91 0.02 0.02 0.05
"200" 0.91 0.02 0.01 0.06
"201" 0.91 0.02 0 0.07
"202" 0.91 0.01 0.08 0
"203" 0.91 0.01 0.07 0.01
"204" 0.91 0.01 0.06 0.02
"205" 0.91 0.01 0.05 0.03
"206" 0.91 0.01 0.04 0.04
"207" 0.91 0.01 0.03 0.05
"208" 0.91 0.01 0.02 0.06
"209" 0.91 0.01 0.01 0.07
"210" 0.91 0.01 0 0.08
"211" 0.91 0 0.09 0
"212" 0.91 0 0.08 0.01
"213" 0.91 0 0.07 0.02
"214" 0.91 0 0.06 0.03
"215" 0.91 0 0.05 0.04
"216" 0.91 0 0.04 0.05
"217" 0.91 0 0.03 0.06
"218" 0.91 0 0.02 0.07
"219" 0.91 0 0.01 0.08
"220" 0.91 0 0 0.09
"221" 0.9 0.1 0 0
"222" 0.9 0.09 0.01 0
"223" 0.9 0.09 0 0.01
"224" 0.9 0.08 0.02 0
"225" 0.9 0.08 0.01 0.01
"226" 0.9 0.08 0 0.02
"227" 0.9 0.07 0.03 0
"228" 0.9 0.07 0.02 0.01
"229" 0.9 0.07 0.01 0.02
"230" 0.9 0.07 0 0.03
"231" 0.9 0.06 0.04 0
"232" 0.9 0.06 0.03 0.01
"233" 0.9 0.06 0.02 0.02
"234" 0.9 0.06 0.01 0.03
"235" 0.9 0.06 0 0.04
"236" 0.9 0.05 0.05 0
"237" 0.9 0.05 0.04 0.01
"238" 0.9 0.05 0.03 0.02
"239" 0.9 0.05 0.02 0.03
"240" 0.9 0.05 0.01 0.04
"241" 0.9 0.05 0 0.05
"242" 0.9 0.04 0.06 0
"243" 0.9 0.04 0.05 0.01
"244" 0.9 0.04 0.04 0.02
"245" 0.9 0.04 0.03 0.03
"246" 0.9 0.04 0.02 0.04
"247" 0.9 0.04 0.01 0.05
"248" 0.9 0.04 0 0.06
"249" 0.9 0.03 0.07 0
"250" 0.9 0.03 0.06 0.01
"251" 0.9 0.03 0.05 0.02
"252" 0.9 0.03 0.04 0.03
"253" 0.9 0.03 0.03 0.04
"254" 0.9 0.03 0.02 0.05
"255" 0.9 0.03 0.01 0.06
"256" 0.9 0.03 0 0.07
"257" 0.9 0.02 0.08 0
"258" 0.9 0.02 0.07 0.01
"259" 0.9 0.02 0.06 0.02
"260" 0.9 0.02 0.05 0.03
"261" 0.9 0.02 0.04 0.04
"262" 0.9 0.02 0.03 0.05
"263" 0.9 0.02 0.02 0.06
"264" 0.9 0.02 0.01 0.07
"265" 0.9 0.02 0 0.08
"266" 0.9 0.01 0.09 0
"267" 0.9 0.01 0.08 0.01
"268" 0.9 0.01 0.07 0.02
"269" 0.9 0.01 0.06 0.03
"270" 0.9 0.01 0.05 0.04
"271" 0.9 0.01 0.04 0.05
"272" 0.9 0.01 0.03 0.06
"273" 0.9 0.01 0.02 0.07
"274" 0.9 0.01 0.01 0.08
"275" 0.9 0.01 0 0.09
"276" 0.9 0 0.1 0
"277" 0.9 0 0.09 0.01
"278" 0.9 0 0.08 0.02
"279" 0.9 0 0.07 0.03
"280" 0.9 0 0.06 0.04
"281" 0.9 0 0.05 0.05
"282" 0.9 0 0.04 0.06
"283" 0.9 0 0.03 0.07
"284" 0.9 0 0.02 0.08
"285" 0.9 0 0.01 0.09
"286" 0.9 0 0 0.1
"287" 0.89 0.11 0 0
"288" 0.89 0.1 0.01 0
"289" 0.89 0.1 0 0.01
"290" 0.89 0.09 0.02 0
"291" 0.89 0.09 0.01 0.01
"292" 0.89 0.09 0 0.02
"293" 0.89 0.08 0.03 0
"294" 0.89 0.08 0.02 0.01
"295" 0.89 0.08 0.01 0.02
"296" 0.89 0.08 0 0.03
"297" 0.89 0.07 0.04 0
"298" 0.89 0.07 0.03 0.01
"299" 0.89 0.07 0.02 0.02
"300" 0.89 0.07 0.01 0.03
"301" 0.89 0.07 0 0.04
"302" 0.89 0.06 0.05 0
"303" 0.89 0.06 0.04 0.01
"304" 0.89 0.06 0.03 0.02
"305" 0.89 0.06 0.02 0.03
"306" 0.89 0.06 0.01 0.04
"307" 0.89 0.06 0 0.05
"308" 0.89 0.05 0.06 0
"309" 0.89 0.05 0.05 0.01
"310" 0.89 0.05 0.04 0.02
"311" 0.89 0.05 0.03 0.03
"312" 0.89 0.05 0.02 0.04
"313" 0.89 0.05 0.01 0.05
"314" 0.89 0.05 0 0.06
"315" 0.89 0.04 0.07 0
"316" 0.89 0.04 0.06 0.01
"317" 0.89 0.04 0.05 0.02
"318" 0.89 0.04 0.04 0.03
"319" 0.89 0.04 0.03 0.04
"320" 0.89 0.04 0.02 0.05
"321" 0.89 0.04 0.01 0.06
"322" 0.89 0.04 0 0.07
"323" 0.89 0.03 0.08 0
"324" 0.89 0.03 0.07 0.01
"325" 0.89 0.03 0.06 0.02
"326" 0.89 0.03 0.05 0.03
"327" 0.89 0.03 0.04 0.04
"328" 0.89 0.03 0.03 0.05
"329" 0.89 0.03 0.02 0.06
"330" 0.89 0.03 0.01 0.07
"331" 0.89 0.03 0 0.08
"332" 0.89 0.02 0.09 0
"333" 0.89 0.02 0.08 0.01
"334" 0.89 0.02 0.07 0.02
"335" 0.89 0.02 0.06 0.03
"336" 0.89 0.02 0.05 0.04
"337" 0.89 0.02 0.04 0.05
"338" 0.89 0.02 0.03 0.06
"339" 0.89 0.02 0.02 0.07
"340" 0.89 0.02 0.01 0.08
"341" 0.89 0.02 0 0.09
"342" 0.89 0.01 0.1 0
"343" 0.89 0.01 0.09 0.01
"344" 0.89 0.01 0.08 0.02
"345" 0.89 0.01 0.07 0.03
"346" 0.89 0.01 0.06 0.04
"347" 0.89 0.01 0.05 0.05
