"w1","w2","w3","iportfolio","sdp","sharp","des"
0.3,0.87,-0.17,0.0130778416666667,0.0404454344586153,0.323345313055005,"Minimal risk portfolio"
0.25,0.75,0,0.0140377708333333,0.0418354725819492,0.335547084016692,"Maximum efficiency portfolio"
-1,1,1,0.0229343333333333,0.137144069961491,0.167228035012911,"Maximum rate of return portfolio"
1,0,0,0.0114878333333333,0.0713119730560616,0.161092630606395,"Max weight one portfolio"
0,1,0,0.01488775,0.048830371618225,0.304887091918904,"Max weight two portfolio"
0,0,1,0.0195344166666667,0.0839028133841441,0.232821950525419,"Max weight three portfolio"
