WIG;Zloto;Srebro;Platyna;Pallad;Ropa WTI, Cushing ;Ropa Brent Europe ;DJ
0,08225;0,02927;0,03566;0,04562;0,02318;-0,12024;-0,14071;0,01272
-0,04871;0,02106;0,07111;0,05988;0,04532;0,08751;0,07228;-0,02798
0,10836;-0,00369;-0,06709;0,00404;0,01662;0,01957;0,07801;0,00699
0,03965;0,02304;0,01124;0,03376;0,05473;0,05857;0,08767;0,05736
0,06288;-0,02644;-0,01852;-0,00467;-0,01078;-0,00828;-0,00415;0,04323
0,03951;-0,01305;-0,05358;-0,00547;-0,00545;0,06367;0,05713;-0,01607
-0,03643;0,02306;0,0311;0,01493;0;0,09824;0,08276;-0,01466
-0,04744;0,00977;-0,07579;-0,01858;-0,09589;-0,02375;-0,0802;0,01103
-0,00463;0,10565;0,14226;0,08596;0,04167;0,10434;0,09059;0,04027
0,04568;0,06258;0,04908;0,04575;0,07636;0,07371;0,06699;0,00248
-0,10212;-0,0076;-0,00628;0;-0,05676;0,10455;0,1223;-0,04008
-0,0182;0,06414;0,03725;0,0625;0,04298;-0,0325;-0,01602;-0,00799
-0,14198;0,10735;0,13415;0,13137;0,06593;0,01396;0,01375;-0,04632
-0,00473;0,05226;0,17204;0,24206;0,46392;0,02603;0,03048;-0,03035
0,0103;-0,03911;-0,08308;-0,05116;-0,21655;0,10546;0,09106;-0,00029
-0,02748;-0,06695;-0,08449;-0,05441;-0,05618;0,06761;0,05239;0,04544
-0,00144;0,01693;0,02307;0,04095;0,02381;0,11387;0,12588;-0,01418
-0,1175;0,05024;0,04748;0,02789;0,08605;0,06762;0,07752;-0,10194
0,03061;-0,01317;-0,00963;-0,14826;-0,18201;-0,00381;0,00302;0,00247
-0,04537;-0,09259;-0,21281;-0,1587;-0,20942;-0,12522;-0,14678;0,01455
-0,07694;0,06182;-0,05814;-0,32116;-0,34106;-0,10765;-0,14138;-0,06002
-0,24006;-0,17383;-0,28395;-0,18924;-0,00503;-0,26414;-0,26381;-0,14061
-0,04462;0,11461;0,09052;0,07617;-0,05556;-0,25193;-0,26725;-0,05319
0,00363;0,06783;0,06621;0,02511;-0,02139;-0,2825;-0,23832;-0,00596
-0,0934;0,0572;0,15941;0,09465;0,07104;0,01435;0,08736;-0,08837
-0,12131;0,03535;0,05596;0,07731;-0,0051;-0,06281;-0,00276;-0,11723
0,10813;-0,03729;-0,00757;0,06138;0,10256;0,2264;0,07433;0,0773
0,20729;-0,03628;-0,03661;-0,02758;0,01395;0,03567;0,07821;0,07349
0,01048;0,10444;0,22882;0,07502;0,08257;0,18892;0,14189;0,04067
0,03739;-0,04203;-0,1018;0,00936;0,05508;0,17974;0,19738;-0,00627
0,15921;0,00482;-0,02224;0,00253;0,02811;-0,07883;-0,06078;0,08578
0,07637;0,01757;0,06676;0,04626;0,12891;0,10756;0,12523;0,0354
-0,00987;0,04212;0,13136;0,03457;0,0173;-0,02308;-0,06703;0,02275
0,02254;0,04444;0,00729;0,02564;0,10204;0,09091;0,07568;0,00005
0,03003;0,13053;0,09475;0,09242;0,11265;0,02998;0,05346;0,06508
0,01022;-0,07506;-0,0634;0,01318;0,09015;-0,04513;-0,0287;0,00804
0,00181;-0,00828;-0,0412;0,03491;0,06616;0,05183;0,02297;-0,03459
-0,03369;0,02758;-0,01044;0,01389;0,02625;-0,02477;-0,03177;0,02563
0,09657;0,00654;0,08561;0,07306;0,11395;0,06297;0,06888;0,05146
0,01999;0,05715;0,064;0,05653;0,1524;0,03805;0,07599;0,014
-0,04077;0,02396;-0,00483;-0,10529;-0,14674;-0,12516;-0,10457;-0,07921
-0,05147;0,03023;0,01133;-0,01479;-0,05308;0,0217;-0,01567;-0,03577
0,07799;-0,06029;-0,05763;0,01501;0,09193;0,01301;0,01097;0,07079
-0,00586;0,06587;0,06852;-0,02572;0,01437;0,00367;0,01932;-0,04311
0,07156;0,04896;0,16958;0,09703;0,15992;-0,01775;0,01038;0,07722
0,02195;0,03041;0,08564;0,02286;0,11693;0,08838;0,06205;0,03063
-0,01879;0,02729;0,1323;-0,02471;0,09688;0,02882;0,03157;-0,01012
0,04693;0,0159;0,12901;0,0585;0,13533;0,05816;0,07235;0,05193
