"W1"	"W2"	"W3"
"193"	-0.81	0.83	0.98
"194"	-0.81	0.84	0.97
"195"	-0.81	0.85	0.96
"196"	-0.81	0.86	0.95
"197"	-0.81	0.87	0.94
"198"	-0.81	0.88	0.93
"199"	-0.81	0.89	0.92
"200"	-0.81	0.9	0.91
"201"	-0.81	0.91	0.9
"202"	-0.81	0.92	0.89
"203"	-0.81	0.93	0.88
"204"	-0.81	0.94	0.87
"205"	-0.81	0.95	0.86
"206"	-0.81	0.96	0.85
"207"	-0.81	0.97	0.84
"208"	-0.81	0.98	0.83
"209"	-0.81	0.99	0.82
"210"	-0.81	1	0.81
"211"	-0.8	0.8	1
"212"	-0.8	0.81	0.99
"213"	-0.8	0.82	0.98
"214"	-0.8	0.83	0.97
"215"	-0.8	0.84	0.96
"216"	-0.8	0.85	0.95
"217"	-0.8	0.86	0.94
"218"	-0.8	0.87	0.93
"219"	-0.8	0.88	0.92
"220"	-0.8	0.89	0.91
"221"	-0.8	0.9	0.9
"222"	-0.8	0.91	0.89
"223"	-0.8	0.92	0.88
"224"	-0.8	0.93	0.87
"225"	-0.8	0.94	0.86
"226"	-0.8	0.95	0.85
"227"	-0.8	0.96	0.84
"228"	-0.8	0.97	0.83
"229"	-0.8	0.98	0.82
"230"	-0.8	0.99	0.81
"231"	-0.8	1	0.8
"232"	-0.79	0.79	1
"233"	-0.79	0.8	0.99
"234"	-0.79	0.81	0.98
"235"	-0.79	0.82	0.97
"236"	-0.79	0.83	0.96
"237"	-0.79	0.84	0.95
"238"	-0.79	0.85	0.94
"239"	-0.79	0.86	0.93
"240"	-0.79	0.87	0.92
"241"	-0.79	0.88	0.91
"242"	-0.79	0.89	0.9
"243"	-0.79	0.9	0.89
"244"	-0.79	0.91	0.88
"245"	-0.79	0.92	0.87
"246"	-0.79	0.93	0.86
"247"	-0.79	0.94	0.85
"248"	-0.79	0.95	0.84
"249"	-0.79	0.96	0.83
"250"	-0.79	0.97	0.82
"251"	-0.79	0.98	0.81
"252"	-0.79	0.99	0.8
"253"	-0.79	1	0.79
"254"	-0.78	0.78	1
"255"	-0.78	0.79	0.99
"256"	-0.78	0.8	0.98
"257"	-0.78	0.81	0.97
"258"	-0.78	0.82	0.96
"259"	-0.78	0.83	0.95
"260"	-0.78	0.84	0.94
"261"	-0.78	0.85	0.93
"262"	-0.78	0.86	0.92
"263"	-0.78	0.87	0.91
"264"	-0.78	0.88	0.9
"265"	-0.78	0.89	0.89
"266"	-0.78	0.9	0.88
"267"	-0.78	0.91	0.87
"268"	-0.78	0.92	0.86
"269"	-0.78	0.93	0.85
"270"	-0.78	0.94	0.84
"271"	-0.78	0.95	0.83
"272"	-0.78	0.96	0.82
"273"	-0.78	0.97	0.81
"274"	-0.78	0.98	0.8
"275"	-0.78	0.99	0.79
"276"	-0.78	1	0.78
"277"	-0.77	0.77	1
"278"	-0.77	0.78	0.99
"279"	-0.77	0.79	0.98
"280"	-0.77	0.8	0.97
"281"	-0.77	0.81	0.96
"282"	-0.77	0.82	0.95
"283"	-0.77	0.83	0.94
"284"	-0.77	0.84	0.93
"285"	-0.77	0.85	0.92
"286"	-0.77	0.86	0.91
