"W1"	"W2"	"W3"
"2835"	-0.26	0.85	0.41
"2836"	-0.26	0.86	0.4
"2837"	-0.26	0.87	0.39
"2838"	-0.26	0.88	0.38
"2839"	-0.26	0.89	0.37
"2840"	-0.26	0.9	0.36
"2841"	-0.26	0.91	0.35
"2842"	-0.26	0.92	0.34
"2843"	-0.26	0.93	0.33
"2844"	-0.26	0.94	0.32
"2845"	-0.26	0.95	0.31
"2846"	-0.26	0.96	0.3
"2847"	-0.26	0.97	0.29
"2848"	-0.26	0.98	0.28
"2849"	-0.26	0.99	0.27
"2850"	-0.26	1	0.26
"2851"	-0.25	0.25	1
"2852"	-0.25	0.26	0.99
"2853"	-0.25	0.27	0.98
"2854"	-0.25	0.28	0.97
"2855"	-0.25	0.29	0.96
"2856"	-0.25	0.3	0.95
"2857"	-0.25	0.31	0.94
"2858"	-0.25	0.32	0.93
"2859"	-0.25	0.33	0.92
"2860"	-0.25	0.34	0.91
"2861"	-0.25	0.35	0.9
"2862"	-0.25	0.36	0.89
"2863"	-0.25	0.37	0.88
"2864"	-0.25	0.38	0.87
"2865"	-0.25	0.39	0.86
"2866"	-0.25	0.4	0.85
"2867"	-0.25	0.41	0.84
"2868"	-0.25	0.42	0.83
"2869"	-0.25	0.43	0.82
"2870"	-0.25	0.44	0.81
"2871"	-0.25	0.45	0.8
"2872"	-0.25	0.46	0.79
"2873"	-0.25	0.47	0.78
"2874"	-0.25	0.48	0.77
"2875"	-0.25	0.49	0.76
"2876"	-0.25	0.5	0.75
"2877"	-0.25	0.51	0.74
"2878"	-0.25	0.52	0.73
"2879"	-0.25	0.53	0.72
"2880"	-0.25	0.54	0.71
"2881"	-0.25	0.55	0.7
"2882"	-0.25	0.56	0.69
"2883"	-0.25	0.57	0.68
"2884"	-0.25	0.58	0.67
"2885"	-0.25	0.59	0.66
"2886"	-0.25	0.6	0.65
"2887"	-0.25	0.61	0.64
"2888"	-0.25	0.62	0.63
"2889"	-0.25	0.63	0.62
"2890"	-0.25	0.64	0.61
"2891"	-0.25	0.65	0.6
"2892"	-0.25	0.66	0.59
"2893"	-0.25	0.67	0.58
"2894"	-0.25	0.68	0.57
"2895"	-0.25	0.69	0.56
"2896"	-0.25	0.7	0.55
"2897"	-0.25	0.71	0.54
"2898"	-0.25	0.72	0.53
"2899"	-0.25	0.73	0.52
"2900"	-0.25	0.74	0.51
"2901"	-0.25	0.75	0.5
"2902"	-0.25	0.76	0.49
"2903"	-0.25	0.77	0.48
"2904"	-0.25	0.78	0.47
"2905"	-0.25	0.79	0.46
"2906"	-0.25	0.8	0.45
"2907"	-0.25	0.81	0.44
"2908"	-0.25	0.82	0.43
"2909"	-0.25	0.83	0.42
"2910"	-0.25	0.84	0.41
"2911"	-0.25	0.85	0.4
"2912"	-0.25	0.86	0.39
"2913"	-0.25	0.87	0.38
"2914"	-0.25	0.88	0.37
"2915"	-0.25	0.89	0.36
"2916"	-0.25	0.9	0.35
"2917"	-0.25	0.91	0.34
"2918"	-0.25	0.92	0.33
"2919"	-0.25	0.93	0.32
"2920"	-0.25	0.94	0.31
"2921"	-0.25	0.95	0.3
"2922"	-0.25	0.96	0.29
"2923"	-0.25	0.97	0.28
"2924"	-0.25	0.98	0.27
"2925"	-0.25	0.99	0.26
"2926"	-0.25	1	0.25
"2927"	-0.24	0.24	1
"2928"	-0.24	0.25	0.99
"2929"	-0.24	0.26	0.98
"2930"	-0.24	0.27	0.97
"2931"	-0.24	0.28	0.96
"2932"	-0.24	0.29	0.95
"2933"	-0.24	0.3	0.94
"2934"	-0.24	0.31	0.93
"2935"	-0.24	0.32	0.92
"2936"	-0.24	0.33	0.91
"2937"	-0.24	0.34	0.9
"2938"	-0.24	0.35	0.89
"2939"	-0.24	0.36	0.88
"2940"	-0.24	0.37	0.87
"2941"	-0.24	0.38	0.86
"2942"	-0.24	0.39	0.85
"2943"	-0.24	0.4	0.84
"2944"	-0.24	0.41	0.83
"2945"	-0.24	0.42	0.82
"2946"	-0.24	0.43	0.81
"2947"	-0.24	0.44	0.8
"2948"	-0.24	0.45	0.79
"2949"	-0.24	0.46	0.78
"2950"	-0.24	0.47	0.77
"2951"	-0.24	0.48	0.76
"2952"	-0.24	0.49	0.75
"2953"	-0.24	0.5	0.74
"2954"	-0.24	0.51	0.73
"2955"	-0.24	0.52	0.72
"2956"	-0.24	0.53	0.71
"2957"	-0.24	0.54	0.7
"2958"	-0.24	0.55	0.69
"2959"	-0.24	0.56	0.68
"2960"	-0.24	0.57	0.67
"2961"	-0.24	0.58	0.66
"2962"	-0.24	0.59	0.65
"2963"	-0.24	0.6	0.64
"2964"	-0.24	0.61	0.63
"2965"	-0.24	0.62	0.62
"2966"	-0.24	0.63	0.61
"2967"	-0.24	0.64	0.6
"2968"	-0.24	0.65	0.59
"2969"	-0.24	0.66	0.58
"2970"	-0.24	0.67	0.57
"2971"	-0.24	0.68	0.56
"2972"	-0.24	0.69	0.55
"2973"	-0.24	0.7	0.54
"2974"	-0.24	0.71	0.53
"2975"	-0.24	0.72	0.52
"2976"	-0.24	0.73	0.51
"2977"	-0.24	0.74	0.5
"2978"	-0.24	0.75	0.49
"2979"	-0.24	0.76	0.48
"2980"	-0.24	0.77	0.47
"2981"	-0.24	0.78	0.46
"2982"	-0.24	0.79	0.45
"2983"	-0.24	0.8	0.44
"2984"	-0.24	0.81	0.43
"2985"	-0.24	0.82	0.42
"2986"	-0.24	0.83	0.41
"2987"	-0.24	0.84	0.4
"2988"	-0.24	0.85	0.39
"2989"	-0.24	0.86	0.38
"2990"	-0.24	0.87	0.37
"2991"	-0.24	0.88	0.36
"2992"	-0.24	0.89	0.35
"2993"	-0.24	0.9	0.34
"2994"	-0.24	0.91	0.33
"2995"	-0.24	0.92	0.32
"2996"	-0.24	0.93	0.31
"2997"	-0.24	0.94	0.3
"2998"	-0.24	0.95	0.29
"2999"	-0.24	0.96	0.28
"3000"	-0.24	0.97	0.27
"3001"	-0.24	0.98	0.26
"3002"	-0.24	0.99	0.25
"3003"	-0.24	1	0.24
"3004"	-0.23	0.23	1
"3005"	-0.23	0.24	0.99
"3006"	-0.23	0.25	0.98
"3007"	-0.23	0.26	0.97
"3008"	-0.23	0.27	0.96
"3009"	-0.23	0.28	0.95
"3010"	-0.23	0.29	0.94
"3011"	-0.23	0.3	0.93
"3012"	-0.23	0.31	0.92
"3013"	-0.23	0.32	0.91
"3014"	-0.23	0.33	0.9
"3015"	-0.23	0.34	0.89
"3016"	-0.23	0.35	0.88
"3017"	-0.23	0.36	0.87
"3018"	-0.23	0.37	0.86
"3019"	-0.23	0.38	0.85
"3020"	-0.23	0.39	0.84
"3021"	-0.23	0.4	0.83
"3022"	-0.23	0.41	0.82
"3023"	-0.23	0.42	0.81
"3024"	-0.23	0.43	0.8
"3025"	-0.23	0.44	0.79
"3026"	-0.23	0.45	0.78
"3027"	-0.23	0.46	0.77
"3028"	-0.23	0.47	0.76
"3029"	-0.23	0.48	0.75
"3030"	-0.23	0.49	0.74
"3031"	-0.23	0.5	0.73
"3032"	-0.23	0.51	0.72
"3033"	-0.23	0.52	0.71
"3034"	-0.23	0.53	0.7
"3035"	-0.23	0.54	0.69
"3036"	-0.23	0.55	0.68
"3037"	-0.23	0.56	0.67
"3038"	-0.23	0.57	0.66
"3039"	-0.23	0.58	0.65
"3040"	-0.23	0.59	0.64
"3041"	-0.23	0.6	0.63
"3042"	-0.23	0.61	0.62
"3043"	-0.23	0.62	0.61
"3044"	-0.23	0.63	0.6
"3045"	-0.23	0.64	0.59
"3046"	-0.23	0.65	0.58
"3047"	-0.23	0.66	0.57
"3048"	-0.23	0.67	0.56
"3049"	-0.23	0.68	0.55
"3050"	-0.23	0.69	0.54
"3051"	-0.23	0.7	0.53
"3052"	-0.23	0.71	0.52
"3053"	-0.23	0.72	0.51
"3054"	-0.23	0.73	0.5
"3055"	-0.23	0.74	0.49
"3056"	-0.23	0.75	0.48
"3057"	-0.23	0.76	0.47
"3058"	-0.23	0.77	0.46
"3059"	-0.23	0.78	0.45
"3060"	-0.23	0.79	0.44
"3061"	-0.23	0.8	0.43
"3062"	-0.23	0.81	0.42
"3063"	-0.23	0.82	0.41
"3064"	-0.23	0.83	0.4
"3065"	-0.23	0.84	0.39
"3066"	-0.23	0.85	0.38
"3067"	-0.23	0.86	0.37
"3068"	-0.23	0.87	0.36
"3069"	-0.23	0.88	0.35
"3070"	-0.23	0.89	0.34
"3071"	-0.23	0.9	0.33
"3072"	-0.23	0.91	0.32
"3073"	-0.23	0.92	0.31
"3074"	-0.23	0.93	0.3
"3075"	-0.23	0.94	0.29
"3076"	-0.23	0.95	0.28
"3077"	-0.23	0.96	0.27
"3078"	-0.23	0.97	0.26
"3079"	-0.23	0.98	0.25
"3080"	-0.23	0.99	0.24
"3081"	-0.23	1	0.23
"3082"	-0.22	0.22	1
"3083"	-0.22	0.23	0.99
"3084"	-0.22	0.24	0.98
"3085"	-0.22	0.25	0.97
"3086"	-0.22	0.26	0.96
"3087"	-0.22	0.27	0.95
"3088"	-0.22	0.28	0.94
"3089"	-0.22	0.29	0.93
"3090"	-0.22	0.3	0.92
"3091"	-0.22	0.31	0.91
"3092"	-0.22	0.32	0.9
"3093"	-0.22	0.33	0.89
"3094"	-0.22	0.34	0.88
"3095"	-0.22	0.35	0.87
"3096"	-0.22	0.36	0.86
"3097"	-0.22	0.37	0.85
"3098"	-0.22	0.38	0.84
"3099"	-0.22	0.39	0.83
"3100"	-0.22	0.4	0.82
"3101"	-0.22	0.41	0.81
"3102"	-0.22	0.42	0.8
"3103"	-0.22	0.43	0.79
"3104"	-0.22	0.44	0.78
"3105"	-0.22	0.45	0.77
"3106"	-0.22	0.46	0.76
"3107"	-0.22	0.47	0.75
"3108"	-0.22	0.48	0.74
"3109"	-0.22	0.49	0.73
"3110"	-0.22	0.5	0.72
"3111"	-0.22	0.51	0.71
"3112"	-0.22	0.52	0.7
"3113"	-0.22	0.53	0.69
"3114"	-0.22	0.54	0.68
"3115"	-0.22	0.55	0.67
"3116"	-0.22	0.56	0.66
"3117"	-0.22	0.57	0.65
"3118"	-0.22	0.58	0.64
"3119"	-0.22	0.59	0.63
"3120"	-0.22	0.6	0.62
"3121"	-0.22	0.61	0.61
"3122"	-0.22	0.62	0.6
"3123"	-0.22	0.63	0.59
"3124"	-0.22	0.64	0.58
"3125"	-0.22	0.65	0.57
"3126"	-0.22	0.66	0.56
"3127"	-0.22	0.67	0.55
"3128"	-0.22	0.68	0.54
"3129"	-0.22	0.69	0.53
"3130"	-0.22	0.7	0.52
"3131"	-0.22	0.71	0.51
"3132"	-0.22	0.72	0.5
"3133"	-0.22	0.73	0.49
"3134"	-0.22	0.74	0.48
"3135"	-0.22	0.75	0.47
"3136"	-0.22	0.76	0.46
"3137"	-0.22	0.77	0.45
"3138"	-0.22	0.78	0.44
"3139"	-0.22	0.79	0.43
"3140"	-0.22	0.8	0.42
"3141"	-0.22	0.81	0.41
"3142"	-0.22	0.82	0.4
"3143"	-0.22	0.83	0.39
"3144"	-0.22	0.84	0.38
"3145"	-0.22	0.85	0.37
"3146"	-0.22	0.86	0.36
"3147"	-0.22	0.87	0.35
"3148"	-0.22	0.88	0.34
"3149"	-0.22	0.89	0.33
"3150"	-0.22	0.9	0.32
"3151"	-0.22	0.91	0.31
"3152"	-0.22	0.92	0.3
"3153"	-0.22	0.93	0.29
"3154"	-0.22	0.94	0.28
"3155"	-0.22	0.95	0.27
"3156"	-0.22	0.96	0.26
"3157"	-0.22	0.97	0.25
"3158"	-0.22	0.98	0.24
"3159"	-0.22	0.99	0.23
"3160"	-0.22	1	0.22
"3161"	-0.21	0.21	1
"3162"	-0.21	0.22	0.99
"3163"	-0.21	0.23	0.98
"3164"	-0.21	0.24	0.97
"3165"	-0.21	0.25	0.96
"3166"	-0.21	0.26	0.95
"3167"	-0.21	0.27	0.94
"3168"	-0.21	0.28	0.93
"3169"	-0.21	0.29	0.92
"3170"	-0.21	0.3	0.91
"3171"	-0.21	0.31	0.9
"3172"	-0.21	0.32	0.89
"3173"	-0.21	0.33	0.88
"3174"	-0.21	0.34	0.87
"3175"	-0.21	0.35	0.86
"3176"	-0.21	0.36	0.85
"3177"	-0.21	0.37	0.84
"3178"	-0.21	0.38	0.83
"3179"	-0.21	0.39	0.82
"3180"	-0.21	0.4	0.81
"3181"	-0.21	0.41	0.8
"3182"	-0.21	0.42	0.79
"3183"	-0.21	0.43	0.78
"3184"	-0.21	0.44	0.77
"3185"	-0.21	0.45	0.76
"3186"	-0.21	0.46	0.75
"3187"	-0.21	0.47	0.74
"3188"	-0.21	0.48	0.73
"3189"	-0.21	0.49	0.72
"3190"	-0.21	0.5	0.71
"3191"	-0.21	0.51	0.7
"3192"	-0.21	0.52	0.69
"3193"	-0.21	0.53	0.68
"3194"	-0.21	0.54	0.67
"3195"	-0.21	0.55	0.66
"3196"	-0.21	0.56	0.65
"3197"	-0.21	0.57	0.64
"3198"	-0.21	0.58	0.63
"3199"	-0.21	0.59	0.62
"3200"	-0.21	0.6	0.61
"3201"	-0.21	0.61	0.6
"3202"	-0.21	0.62	0.59
"3203"	-0.21	0.63	0.58
"3204"	-0.21	0.64	0.57
"3205"	-0.21	0.65	0.56
"3206"	-0.21	0.66	0.55
"3207"	-0.21	0.67	0.54
"3208"	-0.21	0.68	0.53
"3209"	-0.21	0.69	0.52
"3210"	-0.21	0.7	0.51
"3211"	-0.21	0.71	0.5
"3212"	-0.21	0.72	0.49
"3213"	-0.21	0.73	0.48
"3214"	-0.21	0.74	0.47
"3215"	-0.21	0.75	0.46
"3216"	-0.21	0.76	0.45
"3217"	-0.21	0.77	0.44
"3218"	-0.21	0.78	0.43
"3219"	-0.21	0.79	0.42
"3220"	-0.21	0.8	0.41
"3221"	-0.21	0.81	0.4
"3222"	-0.21	0.82	0.39
"3223"	-0.21	0.83	0.38
"3224"	-0.21	0.84	0.37
"3225"	-0.21	0.85	0.36
"3226"	-0.21	0.86	0.35
"3227"	-0.21	0.87	0.34
"3228"	-0.21	0.88	0.33
"3229"	-0.21	0.89	0.32
"3230"	-0.21	0.9	0.31
"3231"	-0.21	0.91	0.3
"3232"	-0.21	0.92	0.29
"3233"	-0.21	0.93	0.28
"3234"	-0.21	0.94	0.27
"3235"	-0.21	0.95	0.26
"3236"	-0.21	0.96	0.25
"3237"	-0.21	0.97	0.24
"3238"	-0.21	0.98	0.23
"3239"	-0.21	0.99	0.22
"3240"	-0.21	1	0.21
"3241"	-0.2	0.2	1
"3242"	-0.2	0.21	0.99
"3243"	-0.2	0.22	0.98
"3244"	-0.2	0.23	0.97
"3245"	-0.2	0.24	0.96
"3246"	-0.2	0.25	0.95
"3247"	-0.2	0.26	0.94
"3248"	-0.2	0.27	0.93
"3249"	-0.2	0.28	0.92
"3250"	-0.2	0.29	0.91
"3251"	-0.2	0.3	0.9
"3252"	-0.2	0.31	0.89
"3253"	-0.2	0.32	0.88
"3254"	-0.2	0.33	0.87
"3255"	-0.2	0.34	0.86
"3256"	-0.2	0.35	0.85
"3257"	-0.2	0.36	0.84
"3258"	-0.2	0.37	0.83
"3259"	-0.2	0.38	0.82
"3260"	-0.2	0.39	0.81
"3261"	-0.2	0.4	0.8
"3262"	-0.2	0.41	0.79
"3263"	-0.2	0.42	0.78
"3264"	-0.2	0.43	0.77
"3265"	-0.2	0.44	0.76
"3266"	-0.2	0.45	0.75
"3267"	-0.2	0.46	0.74
"3268"	-0.2	0.47	0.73
"3269"	-0.2	0.48	0.72
"3270"	-0.2	0.49	0.71
"3271"	-0.2	0.5	0.7
"3272"	-0.2	0.51	0.69
"3273"	-0.2	0.52	0.68
"3274"	-0.2	0.53	0.67
"3275"	-0.2	0.54	0.66
"3276"	-0.2	0.55	0.65
"3277"	-0.2	0.56	0.64
"3278"	-0.2	0.57	0.63
"3279"	-0.2	0.58	0.62
"3280"	-0.2	0.59	0.61
"3281"	-0.2	0.6	0.6
"3282"	-0.2	0.61	0.59
"3283"	-0.2	0.62	0.58
"3284"	-0.2	0.63	0.57
"3285"	-0.2	0.64	0.56
"3286"	-0.2	0.65	0.55
"3287"	-0.2	0.66	0.54
"3288"	-0.2	0.67	0.53
"3289"	-0.2	0.68	0.52
"3290"	-0.2	0.69	0.51
"3291"	-0.2	0.7	0.5
"3292"	-0.2	0.71	0.49
"3293"	-0.2	0.72	0.48
"3294"	-0.2	0.73	0.47
"3295"	-0.2	0.74	0.46
"3296"	-0.2	0.75	0.45
"3297"	-0.2	0.76	0.44
"3298"	-0.2	0.77	0.43
"3299"	-0.2	0.78	0.42
"3300"	-0.2	0.79	0.41
"3301"	-0.2	0.8	0.4
"3302"	-0.2	0.81	0.39
"3303"	-0.2	0.82	0.38
"3304"	-0.2	0.83	0.37
"3305"	-0.2	0.84	0.36
"3306"	-0.2	0.85	0.35
"3307"	-0.2	0.86	0.34
"3308"	-0.2	0.87	0.33
"3309"	-0.2	0.88	0.32
"3310"	-0.2	0.89	0.31
"3311"	-0.2	0.9	0.3
"3312"	-0.2	0.91	0.29
"3313"	-0.2	0.92	0.28
"3314"	-0.2	0.93	0.27
"3315"	-0.2	0.94	0.26
"3316"	-0.2	0.95	0.25
"3317"	-0.2	0.96	0.24
"3318"	-0.2	0.97	0.23
"3319"	-0.2	0.98	0.22
"3320"	-0.2	0.99	0.21
"3321"	-0.2	1	0.2
"3322"	-0.19	0.19	1
"3323"	-0.19	0.2	0.99
"3324"	-0.19	0.21	0.98
"3325"	-0.19	0.22	0.97
"3326"	-0.19	0.23	0.96
"3327"	-0.19	0.24	0.95
"3328"	-0.19	0.25	0.94
"3329"	-0.19	0.26	0.93
"3330"	-0.19	0.27	0.92
"3331"	-0.19	0.28	0.91
"3332"	-0.19	0.29	0.9
"3333"	-0.19	0.3	0.89
"3334"	-0.19	0.31	0.88
"3335"	-0.19	0.32	0.87
"3336"	-0.19	0.33	0.86
"3337"	-0.19	0.34	0.85
"3338"	-0.19	0.35	0.84
"3339"	-0.19	0.36	0.83
"3340"	-0.19	0.37	0.82
"3341"	-0.19	0.38	0.81
"3342"	-0.19	0.39	0.8
"3343"	-0.19	0.4	0.79
"3344"	-0.19	0.41	0.78
"3345"	-0.19	0.42	0.77
"3346"	-0.19	0.43	0.76
"3347"	-0.19	0.44	0.75
"3348"	-0.19	0.45	0.74
"3349"	-0.19	0.46	0.73
"3350"	-0.19	0.47	0.72
"3351"	-0.19	0.48	0.71
"3352"	-0.19	0.49	0.7
"3353"	-0.19	0.5	0.69
"3354"	-0.19	0.51	0.68
"3355"	-0.19	0.52	0.67
"3356"	-0.19	0.53	0.66
"3357"	-0.19	0.54	0.65
"3358"	-0.19	0.55	0.64
"3359"	-0.19	0.56	0.63
"3360"	-0.19	0.57	0.62
"3361"	-0.19	0.58	0.61
"3362"	-0.19	0.59	0.6
"3363"	-0.19	0.6	0.59
"3364"	-0.19	0.61	0.58
"3365"	-0.19	0.62	0.57
"3366"	-0.19	0.63	0.56
"3367"	-0.19	0.64	0.55
"3368"	-0.19	0.65	0.54
"3369"	-0.19	0.66	0.53
"3370"	-0.19	0.67	0.52
"3371"	-0.19	0.68	0.51
"3372"	-0.19	0.69	0.5
"3373"	-0.19	0.7	0.49
"3374"	-0.19	0.71	0.48
"3375"	-0.19	0.72	0.47
"3376"	-0.19	0.73	0.46
"3377"	-0.19	0.74	0.45
"3378"	-0.19	0.75	0.44
"3379"	-0.19	0.76	0.43
"3380"	-0.19	0.77	0.42
"3381"	-0.19	0.78	0.41
"3382"	-0.19	0.79	0.4
"3383"	-0.19	0.8	0.39
"3384"	-0.19	0.81	0.38
"3385"	-0.19	0.82	0.37
"3386"	-0.19	0.83	0.36
"3387"	-0.19	0.84	0.35
"3388"	-0.19	0.85	0.34
"3389"	-0.19	0.86	0.33
"3390"	-0.19	0.87	0.32
"3391"	-0.19	0.88	0.31
"3392"	-0.19	0.89	0.3
"3393"	-0.19	0.9	0.29
"3394"	-0.19	0.91	0.28
"3395"	-0.19	0.92	0.27
"3396"	-0.19	0.93	0.26
"3397"	-0.19	0.94	0.25
"3398"	-0.19	0.95	0.24
"3399"	-0.19	0.96	0.23
"3400"	-0.19	0.97	0.22
"3401"	-0.19	0.98	0.21
"3402"	-0.19	0.99	0.2
"3403"	-0.19	1	0.19
"3404"	-0.18	0.18	1
"3405"	-0.18	0.19	0.99
"3406"	-0.18	0.2	0.98
"3407"	-0.18	0.21	0.97
"3408"	-0.18	0.22	0.96
"3409"	-0.18	0.23	0.95
"3410"	-0.18	0.24	0.94
"3411"	-0.18	0.25	0.93
"3412"	-0.18	0.26	0.92
"3413"	-0.18	0.27	0.91
"3414"	-0.18	0.28	0.9
"3415"	-0.18	0.29	0.89
"3416"	-0.18	0.3	0.88
"3417"	-0.18	0.31	0.87
"3418"	-0.18	0.32	0.86
"3419"	-0.18	0.33	0.85
"3420"	-0.18	0.34	0.84
"3421"	-0.18	0.35	0.83
"3422"	-0.18	0.36	0.82
"3423"	-0.18	0.37	0.81
"3424"	-0.18	0.38	0.8
"3425"	-0.18	0.39	0.79
"3426"	-0.18	0.4	0.78
"3427"	-0.18	0.41	0.77
"3428"	-0.18	0.42	0.76
"3429"	-0.18	0.43	0.75
"3430"	-0.18	0.44	0.74
"3431"	-0.18	0.45	0.73
"3432"	-0.18	0.46	0.72
"3433"	-0.18	0.47	0.71
"3434"	-0.18	0.48	0.7
"3435"	-0.18	0.49	0.69
"3436"	-0.18	0.5	0.68
"3437"	-0.18	0.51	0.67
"3438"	-0.18	0.52	0.66
"3439"	-0.18	0.53	0.65
"3440"	-0.18	0.54	0.64
"3441"	-0.18	0.55	0.63
"3442"	-0.18	0.56	0.62
"3443"	-0.18	0.57	0.61
"3444"	-0.18	0.58	0.6
"3445"	-0.18	0.59	0.59
"3446"	-0.18	0.6	0.58
"3447"	-0.18	0.61	0.57
"3448"	-0.18	0.62	0.56
"3449"	-0.18	0.63	0.55
"3450"	-0.18	0.64	0.54
"3451"	-0.18	0.65	0.53
"3452"	-0.18	0.66	0.52
"3453"	-0.18	0.67	0.51
"3454"	-0.18	0.68	0.5
"3455"	-0.18	0.69	0.49
"3456"	-0.18	0.7	0.48
"3457"	-0.18	0.71	0.47
"3458"	-0.18	0.72	0.46
"3459"	-0.18	0.73	0.45
"3460"	-0.18	0.74	0.44
"3461"	-0.18	0.75	0.43
"3462"	-0.18	0.76	0.42
"3463"	-0.18	0.77	0.41
"3464"	-0.18	0.78	0.4
"3465"	-0.18	0.79	0.39
"3466"	-0.18	0.8	0.38
"3467"	-0.18	0.81	0.37
"3468"	-0.18	0.82	0.36
"3469"	-0.18	0.83	0.35
"3470"	-0.18	0.84	0.34
"3471"	-0.18	0.85	0.33
"3472"	-0.18	0.86	0.32
"3473"	-0.18	0.87	0.31
"3474"	-0.18	0.88	0.3
"3475"	-0.18	0.89	0.29
"3476"	-0.18	0.9	0.28
"3477"	-0.18	0.91	0.27
"3478"	-0.18	0.92	0.26
"3479"	-0.18	0.93	0.25
"3480"	-0.18	0.94	0.24
"3481"	-0.18	0.95	0.23
"3482"	-0.18	0.96	0.22
"3483"	-0.18	0.97	0.21
"3484"	-0.18	0.98	0.2
"3485"	-0.18	0.99	0.19
"3486"	-0.18	1	0.18
"3487"	-0.17	0.17	1
"3488"	-0.17	0.18	0.99
"3489"	-0.17	0.19	0.98
"3490"	-0.17	0.2	0.97
"3491"	-0.17	0.21	0.96
"3492"	-0.17	0.22	0.95
"3493"	-0.17	0.23	0.94
"3494"	-0.17	0.24	0.93
"3495"	-0.17	0.25	0.92
"3496"	-0.17	0.26	0.91
"3497"	-0.17	0.27	0.9
"3498"	-0.17	0.28	0.89
"3499"	-0.17	0.29	0.88
"3500"	-0.17	0.3	0.87
"3501"	-0.17	0.31	0.86
"3502"	-0.17	0.32	0.85
"3503"	-0.17	0.33	0.84
"3504"	-0.17	0.34	0.83
"3505"	-0.17	0.35	0.82
"3506"	-0.17	0.36	0.81
"3507"	-0.17	0.37	0.8
"3508"	-0.17	0.38	0.79
"3509"	-0.17	0.39	0.78
"3510"	-0.17	0.4	0.77
"3511"	-0.17	0.41	0.76
"3512"	-0.17	0.42	0.75
"3513"	-0.17	0.43	0.74
"3514"	-0.17	0.44	0.73
"3515"	-0.17	0.45	0.72
"3516"	-0.17	0.46	0.71
"3517"	-0.17	0.47	0.7
"3518"	-0.17	0.48	0.69
"3519"	-0.17	0.49	0.68
"3520"	-0.17	0.5	0.67
"3521"	-0.17	0.51	0.66
"3522"	-0.17	0.52	0.65
"3523"	-0.17	0.53	0.64
"3524"	-0.17	0.54	0.63
"3525"	-0.17	0.55	0.62
"3526"	-0.17	0.56	0.61
"3527"	-0.17	0.57	0.6
"3528"	-0.17	0.58	0.59
"3529"	-0.17	0.59	0.58
"3530"	-0.17	0.6	0.57
"3531"	-0.17	0.61	0.56
"3532"	-0.17	0.62	0.55
"3533"	-0.17	0.63	0.54
"3534"	-0.17	0.64	0.53
"3535"	-0.17	0.65	0.52
"3536"	-0.17	0.66	0.51
"3537"	-0.17	0.67	0.5
"3538"	-0.17	0.68	0.49
"3539"	-0.17	0.69	0.48
"3540"	-0.17	0.7	0.47
"3541"	-0.17	0.71	0.46
"3542"	-0.17	0.72	0.45
"3543"	-0.17	0.73	0.44
"3544"	-0.17	0.74	0.43
"3545"	-0.17	0.75	0.42
"3546"	-0.17	0.76	0.41
"3547"	-0.17	0.77	0.4
"3548"	-0.17	0.78	0.39
"3549"	-0.17	0.79	0.38
"3550"	-0.17	0.8	0.37
"3551"	-0.17	0.81	0.36
"3552"	-0.17	0.82	0.35
"3553"	-0.17	0.83	0.34
"3554"	-0.17	0.84	0.33
"3555"	-0.17	0.85	0.32
"3556"	-0.17	0.86	0.31
"3557"	-0.17	0.87	0.3
"3558"	-0.17	0.88	0.29
"3559"	-0.17	0.89	0.28
"3560"	-0.17	0.9	0.27
"3561"	-0.17	0.91	0.26
"3562"	-0.17	0.92	0.25
"3563"	-0.17	0.93	0.24
"3564"	-0.17	0.94	0.23
"3565"	-0.17	0.95	0.22
"3566"	-0.17	0.96	0.21
"3567"	-0.17	0.97	0.2
"3568"	-0.17	0.98	0.19
"3569"	-0.17	0.99	0.18
"3570"	-0.17	1	0.17
"3571"	-0.16	0.16	1
"3572"	-0.16	0.17	0.99
"3573"	-0.16	0.18	0.98
"3574"	-0.16	0.19	0.97
"3575"	-0.16	0.2	0.96
"3576"	-0.16	0.21	0.95
"3577"	-0.16	0.22	0.94
"3578"	-0.16	0.23	0.93
"3579"	-0.16	0.24	0.92
"3580"	-0.16	0.25	0.91
"3581"	-0.16	0.26	0.9
"3582"	-0.16	0.27	0.89
"3583"	-0.16	0.28	0.88
"3584"	-0.16	0.29	0.87
"3585"	-0.16	0.3	0.86
"3586"	-0.16	0.31	0.85
"3587"	-0.16	0.32	0.84
"3588"	-0.16	0.33	0.83
"3589"	-0.16	0.34	0.82
"3590"	-0.16	0.35	0.81
"3591"	-0.16	0.36	0.8
"3592"	-0.16	0.37	0.79
"3593"	-0.16	0.38	0.78
"3594"	-0.16	0.39	0.77
"3595"	-0.16	0.4	0.76
"3596"	-0.16	0.41	0.75
"3597"	-0.16	0.42	0.74
"3598"	-0.16	0.43	0.73
"3599"	-0.16	0.44	0.72
"3600"	-0.16	0.45	0.71
"3601"	-0.16	0.46	0.7
"3602"	-0.16	0.47	0.69
"3603"	-0.16	0.48	0.68
"3604"	-0.16	0.49	0.67
"3605"	-0.16	0.5	0.66
"3606"	-0.16	0.51	0.65
"3607"	-0.16	0.52	0.64
"3608"	-0.16	0.53	0.63
"3609"	-0.16	0.54	0.62
"3610"	-0.16	0.55	0.61
"3611"	-0.16	0.56	0.6
"3612"	-0.16	0.57	0.59
"3613"	-0.16	0.58	0.58
